source_file,country,country_justification,country_alpha_3_code,country_alpha_3_code_justification,partner_management,partner_management_justification,hbv_screening_for_hbsag,hbv_screening_for_hbsag_justification,vaccination_for_hbv,vaccination_for_hbv_justification,vaccination_for_hpv,vaccination_for_hpv_justification,syphilis_screening,syphilis_screening_justification,ng_screening,ng_screening_justification,ct_screening,ct_screening_justification,error
"South African Guidelines for Provision of PrEP.pdf","South Africa","","ZAF","","not specified","not found","yes","Page 12, Table 1 indicates 'Hepatitis B surface antigen (HBsAg)' as an investigation to be performed prior to initiating a client on PrEP, with actions to be taken based on the result.","yes","Page 12, Table 1 indicates to 'start PrEP and vaccinate, if available' if HBsAg is negative.","no","not found","yes","Page 12, Table 1 lists 'Syndromic STI screening' as a baseline investigation. Page 10 mentions 'Syndromic STI diagnosis and treatment' as part of the minimum package of services offered with PrEP.","yes","Page 12, Table 1 lists 'Syndromic STI screening' as a baseline investigation. Page 10 mentions 'Syndromic STI diagnosis and treatment' as part of the minimum package of services offered with PrEP.","yes","Page 12, Table 1 lists 'Syndromic STI screening' as a baseline investigation. Page 10 mentions 'Syndromic STI diagnosis and treatment' as part of the minimum package of services offered with PrEP.",""
"305 ENG.pdf","Mongolia","","MNG","","no","not found","no","not found","no","not found","no","not found","no","not found","no","not found","no","not found",""
"2022 - nchads-sop-prep-implementation-cambodia-2022.pdf","Cambodia","Document title and content explicitly mention Cambodia.","KHM","Country name Cambodia is found in the document.","no","The document mentions partner risk, but not partner management or treatment for STIs other than HIV.","yes","Page 13, Figure 3: PrEP delivery diagram, shows HBV screening. Page 15, section 4.2.5, mentions rapid screening tests for HBsAg.","no","The document does not mention Hepatitis B vaccination.","no","The document does not mention HPV vaccination.","yes","Page 13, Figure 3: PrEP delivery diagram, shows STI screening. Page 14, section 4.2.5, mentions rapid screening tests for syphilis. Page 16, section 4.2.4, mentions syphilis testing.","no","The document mentions STI screening in general but does not specifically mention screening for Neisseria gonorrhoeae (NG) or gonorrhoea.","no","The document mentions STI screening in general but does not specifically mention screening for Chlamydia trachomatis (CT) or Chlamydia.",""
"2023Aug_PrEP_SOP_Final_print.pdf","Myanmar","Title page and throughout the document","MMR","Title page and throughout the document","not specified","not found","yes","Page 21, section 4. 'All persons screened for PrEP should be tested for hepatitis B surface antigen (HBsAg) once, at or within one to three months of PrEP initiation.'","yes","Page 21, section 4. 'Consider vaccination if HBsAg is not detected and there is no documented history of a completed vaccine series for Hepatitis B Virus (HBV).'","not specified","not found","yes","Page 19, Table 3. 'STI (Syphilis, GC, CT) ... Every 6 months ... Syndromic or diagnostic STI testing, according to National STI Management Guidelines.'","yes","Page 19, Table 3. 'STI (Syphilis, GC, CT) ... Every 6 months ... Syndromic or diagnostic STI testing, according to National STI Management Guidelines.'","yes","Page 19, Table 3. 'STI (Syphilis, GC, CT) ... Every 6 months ... Syndromic or diagnostic STI testing, according to National STI Management Guidelines.'",""
"ic-49-243.pdf","Korea","","KOR","","no","not found","yes","Page 3, paragraph 3: 'Testing for hepatitis B virus (HBs Ag, HBs Ab) ... should be performed before starting PrEP (AIII).'","yes","Page 3, paragraph 3: 'Hepatitis B virus vaccination is recommended for MSM without HBs Ab (AIII).'","no","not found","yes","Page 3, paragraph 7: 'Sexually active persons receiving PrEP should be seen at least every 6 months to conduct tests for sexually transmitted infections (i.e., syphilis, gonorrhea, chlamydia) (BII).'","yes","Page 3, paragraph 7: 'Sexually active persons receiving PrEP should be seen at least every 6 months to conduct tests for sexually transmitted infections (i.e., syphilis, gonorrhea, chlamydia) (BII).'","yes","Page 3, paragraph 7: 'Sexually active persons receiving PrEP should be seen at least every 6 months to conduct tests for sexually transmitted infections (i.e., syphilis, gonorrhea, chlamydia) (BII).'",""
"India_NACO PrEP technical guidelines - May 2022 copy.pdf","India","Document title 'India_NACO PrEP technical guidelines - May 2022 copy.pdf' and content mentions 'National AIDS Control Organisation', 'Ministry of Health & Family Welfare, Government of India'.","IND","Derived from the country name 'India'.","yes","Page 33, paragraph 2 states: 'STI Management and PrEP: All probable PrEP users have substantial risk of sexually transmitted infections as well and presence of sexually transmitted infection itself is a substantial risk for acquisition of HIV. Hence, it is important that all persons being assessed or considered for PrEP undergo a thorough screening for any sexually transmitted infection and if diagnosed, manage STI as per guidelines.' It also states that 'Integration of STI and PrEP programmes can be viewed bi-directionally (not only integrating STI services into PrEP services but also considering STI clients as people also at risk for HIV and therefore potentially eligible for PrEP. Such an approach fosters synergies and efficiencies from a public health perspective.', implying partner management for STIs.","yes","Page 36, under 'Investigations', 'HBsAg' is listed with the rationale 'To assess Hepatitis B, specifically in MSM, TG/TS and IDU population'.","yes","Page 48, under 'Hepatitis B', it states: 'Hepatitis B vaccination is recommended for people at substantial risk of HBV or HIV infection. Vaccination should be considered if there is no documented history of a completed vaccine series for HBV.'","yes","Page 39, under 'Vaccination', 'Human papillomavirus vaccine' is listed.","yes","Page 36, under 'STI screening', it mentions 'Screen for syphilis -RPR/VDRL Test'.","yes","Page 36, under 'STI screening', it mentions 'For MSM and TG/TS, NAAT testing is recommended for chlamydia and gonorrhoea using oral, rectal and urine specimen (M-PCR for Tp, Hd. HSV, Tv, Ng,Ct).'","yes","Page 36, under 'STI screening', it mentions 'For MSM and TG/TS, NAAT testing is recommended for chlamydia and gonorrhoea using oral, rectal and urine specimen (M-PCR for Tp, Hd. HSV, Tv, Ng,Ct).'",""
"Malaysian-Consensus-Guidelines-on-Antiretroviral-Therapy-2017-MINISTRY-OF-HEALTH-MALAYSIA.pdf","Malaysia","Document title 'Malaysian Consensus Guidelines on Antiretroviral Therapy 2017'","MYS","Derived from country name 'Malaysia'","no","not found","yes","Page 85, section 17.4, lists 'Serology for Hepatitis A, B and C viruses (Hep A IgG, Hep BsAg, Hep B sAb and Hep B core Ab, Hep C Ab)' under 'Initial Laboratory Testing' for PrEP.","yes","Page 86, section 17.4, states 'Hepatitis B vaccination should be provided to susceptible patients who are Hep B sAg and sAb neg'. This is under initial laboratory testing for PrEP.","no","not found","yes","Page 79, section 16.3.1, recommends 'serological screening for syphilis'. Also, Page 80, section 16.3.1, mentions 'Rapid plasma reagin test for syphilis' as part of testing for the exposed patient in the context of nPEP, which could be extrapolated to PrEP users as a general STI screening.","yes","Page 80, section 16.3.1, recommends 'NAATs in asymptomatic patients for NG and CT (if available), based on site of exposure'.","yes","Page 80, section 16.3.1, recommends 'NAATs in asymptomatic patients for NG and CT (if available), based on site of exposure'.",""
"NHIVP PrEP Guidance_2019.pdf","Singapore","The document title mentions 'PrEP) in Singapore' and the authors' institutions are located in Singapore.","SGP","The document title mentions 'PrEP) in Singapore' and the authors' institutions are located in Singapore.","no","The document does not mention partner testing, treatment, management, or contact tracing for STIs in the context of a partner having an STI.","yes","Page 7, section a. Hepatitis B virus (HBV) infection: 'All individuals who test positive for the hepatitis B surface antigen (HBsAg) will need a baseline HBV DNA quantitative assay to determine the level of replication prior to starting PrEP(12).'","yes","Page 12, Counselling section: 'Vaccination against hepatitis A, B and human papillomavirus as indicated'.","yes","Page 12, Counselling section: 'Vaccination against hepatitis A, B and human papillomavirus as indicated'.","yes","Page 11, Offer STI screening and treatment: 'Syphilis screening'.","yes","Page 12, Offer STI screening and treatment: 'Other bacterial STIs (gonorrhoea, chlamydia, etc)'.","yes","Page 12, Offer STI screening and treatment: 'Other bacterial STIs (gonorrhoea, chlamydia, etc)'.",""
"PrEP-guidelines-sep-2019.pdf","Australia","The document title page and content frequently reference Australia, ASHM (Australasian Society of HIV, Viral Hepatitis and Sexual Health Medicine), and Australian health systems (e.g., PBS).","AUS","Derived from the country 'Australia'.","yes","Page 44, Box 7.1 states: 'Test for sexually transmissible infections (STIs). This involves PCR tests for chlamydia (first-pass urine, pharyngeal swab and anal swab) and Neisseria gonorrhoea, (pharyngeal swab and anal swab) and a blood test for syphilis serology (1). Partner notification should be undertaken using the most appropriate available resources.'","yes","Page 46 mentions: 'For people who are hepatitis B virus (HBV) non-immune at baseline, clinicians should provide hepatitis B vaccination and confirm their immune response 1 month after the last vaccine dose.' and 'For people who state that they have been vaccinated for hepatitis B at baseline, clinicians should test for hepatitis B surface antibody; if their hepatitis B surface antibody is below 10 IU/mL, they should be vaccinated with one dose of hepatitis B vaccine and their hepatitis B surface antibody titre should be checked 1 month later.'","yes","Page 27 states: 'Vaccination against hepatitis A and HBV is recommended for all susceptible priority populations...'","no","The document does not mention recommendations for HPV vaccination for PrEP users.","yes","Page 44, Box 7.1 states: 'Test for sexually transmissible infections (STIs). This involves PCR tests for chlamydia (first-pass urine, pharyngeal swab and anal swab) and Neisseria gonorrhoea, (pharyngeal swab and anal swab) and a blood test for syphilis serology (1).'","yes","Page 44, Box 7.1 states: 'Test for sexually transmissible infections (STIs). This involves PCR tests for chlamydia (first-pass urine, pharyngeal swab and anal swab) and Neisseria gonorrhoea, (pharyngeal swab and anal swab) and a blood test for syphilis serology (1).'","yes","Page 44, Box 7.1 states: 'Test for sexually transmissible infections (STIs). This involves PCR tests for chlamydia (first-pass urine, pharyngeal swab and anal swab) and Neisseria gonorrhoea, (pharyngeal swab and anal swab) and a blood test for syphilis serology (1).'",""
"thailand_national_guidelines_for_pre-exposure_prophylaxis_prep_2021_chapters_1-2.pdf","Thailand","The document title and content repeatedly refer to Thailand and its national guidelines.","THA","Extracted from the country name 'Thailand'.","no","The document mentions STI screening for PrEP users but does not detail partner management or treatment for STIs in the context of PrEP use.","yes","Table 1.1 explicitly states 'hepatitis B at Month 0, vaccination recommended for Hepatitis C at Month 0' and 'Monitoring of hepatitis B (HBsAg, only those who have not yet acquired immunity)' in the laboratory examination section for follow-up.","yes","Table 1.1 states 'hepatitis B at Month 0, vaccination recommended for Hepatitis C at Month 0'. The recommendation for Hepatitis B implies vaccination.","not specified","The document does not mention HPV vaccination.","yes","Table 1.1 includes 'Syphilis, gonorrhea, chlamydia, at Month 0, every 3-6 months' under Laboratory examination.","yes","Table 1.1 includes 'Syphilis, gonorrhea, chlamydia, at Month 0, every 3-6 months' under Laboratory examination.","yes","Table 1.1 includes 'Syphilis, gonorrhea, chlamydia, at Month 0, every 3-6 months' under Laboratory examination.",""
"Pakistan PrEP Guidelines Final 6.24.19 clean.pdf","Pakistan","","PAK","","not specified","not found","yes","Page 5, Table 1 'Screening and PrEP initiation (visit 1)' recommends 'Hepatitis B surface antigen' test. Page 6, Table 1 '6 month follow up (visit 4)' recommends 'Hepatitis B surface antigen (at 7 months only)' test. Page 7, Table 2 mentions 'Hepatitis B surface antigen - negative' and 'Hepatitis B surface antigen - positive'.","yes","Page 7, Table 2 mentions 'Hepatitis B surface antigen - negative' and the action is 'Offer Hepatitis B virus vaccination'.","not specified","not found","yes","Page 2, section 1.1 mentions 'Having a new sexually transmissible infection (STI) in previous 12 months e.g. chlamydia, gonorrhoea or syphilis.' as a risk factor. Page 5, Table 1 recommends 'Provide STI testing and treatment, if indicated' at various visits.","yes","Page 2, section 1.1 mentions 'Having a new sexually transmissible infection (STI) in previous 12 months e.g. chlamydia, gonorrhoea or syphilis.' as a risk factor. Page 5, Table 1 recommends 'Provide STI testing and treatment, if indicated' at various visits.","yes","Page 2, section 1.1 mentions 'Having a new sexually transmissible infection (STI) in previous 12 months e.g. chlamydia, gonorrhoea or syphilis.' as a risk factor. Page 5, Table 1 recommends 'Provide STI testing and treatment, if indicated' at various visits.",""
"15-774-10 PrEP kunnskapsgrunnlag og anbefaling 120816.no.en.pdf","Norway","Document title includes 'Norway' and content discusses Norwegian context and recommendations.","NOR","NOR is the ISO 3166-1 alpha-3 code for Norway.","no","The document discusses STI screening for PrEP users but does not mention partner management or testing/treatment for partners with STIs.","not specified","The document discusses screening for HIV and other STIs but does not specifically mention screening for Hepatitis B or HBsAg.","not specified","The document does not mention Hepatitis B vaccination.","not specified","The document does not mention HPV vaccination.","yes","Page 11, paragraph 2 states: 'Also in Norway, there has been a worrying increase in gonorrhea and syphilis among MSM in the last decade...'. Page 12, paragraph 1 mentions 'routine follow-up with testing for HIV and soi every 3 months'. Page 13, paragraph 3 mentions 5.5% had had syphilis. Page 14 mentions tests for sexually transmitted infections.","yes","Page 11, paragraph 2 states: 'Also in Norway, there has been a worrying increase in gonorrhea and syphilis among MSM in the last decade...'. Page 12, paragraph 1 mentions 'routine follow-up with testing for HIV and soi every 3 months'. Page 13, paragraph 3 mentions 28% had gonorrhea. Page 14 mentions tests for sexually transmitted infections.","yes","Page 13, paragraph 3 states '33% chlamydia'. Page 14 mentions tests for sexually transmitted infections.",""
"ALB HIV Guidelines ENG.pdf","Albania","Document title: Guidelines regarding the Use of Antiretroviral Drugs for the Treatment and Prevention of HIV Infection in Albania - Publication 2021","ALB","Document title: Guidelines regarding the Use of Antiretroviral Drugs for the Treatment and Prevention of HIV Infection in Albania - Publication 2021","no","The document mentions partner testing for HIV in the context of PrEP, but not partner management for STIs. Page 57, Table 35 mentions: 'Assess intimate partner violence and gender based violence' but not explicitly for STI partner management.","yes","Page 56, Table 35: HBsAg - At the beginning. If you vaccinate negatively. If positive, refer to your hepatologist and advise against stopping PrEP due to the risk of inflaming hepatitis.","yes","Page 56, Table 35: Review vaccinations - First (focus on HBV, HPV, HAV, DT).","yes","Page 56, Table 35: Review vaccinations - First (focus on HBV, HPV, HAV, DT).","yes","Page 56, Table 35: VDRL or RPR - First, and repeat every six months.","yes","Page 56, Table 35: CT/NG - Depending on availability, at the beginning and every 6 months (rectal PCR, tampon and urine).","yes","Page 56, Table 35: CT/NG - Depending on availability, at the beginning and every 6 months (rectal PCR, tampon and urine).",""
"Austria -Germany Leitlinien zur PrEP_Stand 2018.pdf","Austria, Germany","","AUT, DEU","","no","not found","yes","Empfehlung 1.6 states 'Ausschluss einer replikativen Hepatitis-B-Infektion mittels Serologie (HBs-Antigen, anti-HBc-Antikörper) bzw. Prüfung der HBV-Immunität (HBs-Antikörper, ggfs. Impfung gegen HBV)' and 'Ausschluss einer Nierenfunktionsstörung mittels Kreatinin-Bestimmung im Serum (eGFR muss mindestens 60 und sollte >80 ml/min sein)' are requirements before PrEP prescription. Page 15, first paragraph. Also Table K-2 shows HBV Serologie before and during PrEP. Page 19.","yes","Empfehlung 1.6 mentions 'ggfs. Impfung gegen HBV' (if applicable, vaccination against HBV) as part of the screening/pre-requisite for PrEP. Page 15.","no","not found","yes","The table in section K-2.1 lists 'Lues-Serologie' as a screening test during PrEP, to be done every 3 months. Page 20. Additionally, page 21 mentions 'regelmäßige 3-monatliche serologische Untersuchungen auf Syphilis'.","yes","The table in section K-2.1 lists 'Gonorrhoe-NAAT' as a screening test during PrEP, to be done every 3-6 months. Page 20. Also, page 21 mentions 'Abstrichuntersuchungen bei asymptomatischen PrEP-Nutzer*innen auf Chlamydia trachomatis und Neisseria gonorrhoeae (pharyngeal, genital und anorektal; ggfs. pooling möglich) werden alle 3-6 Monate empfohlen.'","yes","The table in section K-2.1 lists 'Chlamydien-NAAT' as a screening test during PrEP, to be done every 3-6 months. Page 20. Also, page 21 mentions 'Abstrichuntersuchungen bei asymptomatischen PrEP-Nutzer*innen auf Chlamydia trachomatis und Neisseria gonorrhoeae (pharyngeal, genital und anorektal; ggfs. pooling möglich) werden alle 3-6 Monate empfohlen.'",""
"Belgian PrEP guidelines.pdf","Belgium","","BEL","","not specified","not found","yes","Page 7 mentions 'HBV/HAV screening and immunization' before PrEP and 'X' under 'At start' and '1month later'. Page 8 specifies 'AgHBs, AcHBs, AcHBc, IgG HBA' for Hepatitis A/B screening.","yes","Page 7 mentions 'HBV/HAV screening and immunization' before PrEP and 'X' under 'At start'. Page 8 specifies 'AgHBs, AcHBs, AcHBc, IgG HBA' for Hepatitis A/B screening.","not specified","not found","yes","Page 7 mentions 'Syphilis screening' before PrEP and 'X' under 'At start' and '1month later'. Page 8 specifies 'Screening +/- VDRL +/- TPHA' for syphilis screening.","yes","Page 7 mentions 'Gonoccoque and Chlamydia screening' before PrEP and 'X' under 'At start'. Page 8 specifies 'PCR (throat, anus and first pass urine)' for screening gonorrhoea/chlamydia.","yes","Page 7 mentions 'Gonoccoque and Chlamydia screening' before PrEP and 'X' under 'At start'. Page 8 specifies 'PCR (throat, anus and first pass urine)' for screening gonorrhoea/chlamydia.",""
"fcsh-recommendations-prep-hiv (1).pdf","Switzerland","","CHE","","not specified","not found","yes","Page 2, under 'Before PrEP is prescribed': 'Exclusion of hepatitis B infection based on HBsAg and ALT'","yes","Page 2, under 'Before PrEP is prescribed': 'Hepatitis A and B vaccination if the patient is not immune'","not specified","not found","yes","Page 2, under 'Every 3 months': 'Syphilis serology'","yes","Page 2, under 'Before PrEP is prescribed': 'Anal, oral and urethral (vaginal) smears for C. trachomatis and N. gonorrhoeae'","yes","Page 2, under 'Before PrEP is prescribed': 'Anal, oral and urethral (vaginal) smears for C. trachomatis and N. gonorrhoeae'",""
"Finnish National PrEP guidelines 2019.fi.en.pdf","Finland","","FIN","","no","not found","yes","Page 16, Paragraph 1: 'Hepatitis A, B, and C antibodies and hepatitis B carrier (HbsAg) should be determined before initiating therapy.'","yes","Page 16, Paragraph 1: 'Hepatitis A and B vaccination is recommended if a person is not protected against these diseases. Both hepatitis A and B vaccines are available free of charge in public health...'","no","not found","yes","Page 16, Paragraph 3: 'Chlamydia, gonorrhea and syphilis testing should be performed before starting treatment and every three months thereafter.'","yes","Page 16, Paragraph 3: 'Chlamydia, gonorrhea and syphilis testing should be performed before starting treatment and every three months thereafter.'","yes","Page 16, Paragraph 3: 'Chlamydia, gonorrhea and syphilis testing should be performed before starting treatment and every three months thereafter.'",""
"GEO PEP and PrEP Guidelines.pdf","Georgia","","GEO","","not specified","The document does not mention partner management for STIs in relation to PrEP.","yes","Page 11, paragraph 1: 'HBV serological status must be determined before PrEP initiation.' and Page 15, Table 4: 'Hepatitis B and C tests' under 'Initial clinical assessment'.","yes","Page 11, paragraph 1: 'If HBV seromarkers are not detected, beneficiary should be offered hepatitis B vaccination.'","not specified","The document does not mention HPV vaccination.","yes","Page 11, paragraph 3: 'Screening for sexually transmitted infections is necessary before and during PrEP. This includes a serologic test for syphilis...' and Page 15, Table 4: 'Syphilis serology' under 'Every 6 months'.","yes","Page 11, paragraph 3: 'Screening for sexually transmitted infections is necessary before and during PrEP. This includes... nucleic acid-based molecular tests for gonorrhea and chlamydia.' and Page 15, Table 4: 'Tests for gonorrhea and chlamydia' under 'Every 6 months'.","yes","Page 11, paragraph 3: 'Screening for sexually transmitted infections is necessary before and during PrEP. This includes... nucleic acid-based molecular tests for gonorrhea and chlamydia.' and Page 15, Table 4: 'Tests for gonorrhea and chlamydia' under 'Every 6 months'.",""
