country_alpha_3_code,country,partner_management,partner_management_justification,hbv_screening_for_hbsag,hbv_screening_for_hbsag_justification,vaccination_for_hbv,vaccination_for_hbv_justification,vaccination_for_hpv,vaccination_for_hpv_justification,syphilis_screening,syphilis_screening_justification,ng_screening,ng_screening_justification,ct_screening,ct_screening_justification
BEN,Benin,no,"Bening_ENG_GUIDE NATIONAL DE MISE EN ŒUVRE DE LA PROPHYLAXIE PRE EXPOSITION FINAL (1) copy.pdf: The document mentions managing STIs according to standard guidelines (Page 29, Table II) and using a syndromic management algorithm for STIs (Page 31), which may imply partner management, but it does not explicitly state 'partner(s) testing', 'partner(s) treatment', 'partner(s) management', 'partner services', or 'contact tracing' in the context of one partner having an STI (excluding HIV).",yes,"Bening_ENG_GUIDE NATIONAL DE MISE EN ŒUVRE DE LA PROPHYLAXIE PRE EXPOSITION FINAL (1) copy.pdf: Page 28, Table II: 'To research Hepatitis of Surface Antigen'; Page 29, Table II: 'If the HBsAg result is positive, the client can be initiated on continuous PrEP'.",yes,"Bening_ENG_GUIDE NATIONAL DE MISE EN ŒUVRE DE LA PROPHYLAXIE PRE EXPOSITION FINAL (1) copy.pdf: Page 28, Table II: 'HBsAg negative: Explore and offer hepatitis B vaccination (in accordance with national hepatitis guidelines)'; Page 31: 'Vaccinations may also be offered (hepatitis B)'.",no,Justification not provided,yes,"Bening_ENG_GUIDE NATIONAL DE MISE EN ŒUVRE DE LA PROPHYLAXIE PRE EXPOSITION FINAL (1) copy.pdf: Page 14: 'PrEP... does not protect against other STIs... such as... syphilis... it is therefore essential to have regular check-ups for STIs'; Page 18: 'Syphilis or other bacterial, viral or parasitic anal STI, particularly if This was diagnosed within the last six months'; Page 31: 'Regularly check up on STIs: PrEP does not prevent other STIs (gonorrhea, condyloma, chlamydia, hepatitis B/C, syphilis, etc.)'.",yes,"Bening_ENG_GUIDE NATIONAL DE MISE EN ŒUVRE DE LA PROPHYLAXIE PRE EXPOSITION FINAL (1) copy.pdf: Page 14: 'PrEP... does not protect against other STIs... such as gonorrhea... it is therefore essential to have regular check-ups for STIs'; Page 31: 'Regularly check up on STIs: PrEP does not prevent other STIs (gonorrhea, condyloma, chlamydia, hepatitis B/C, syphilis, etc.)'.",yes,"Bening_ENG_GUIDE NATIONAL DE MISE EN ŒUVRE DE LA PROPHYLAXIE PRE EXPOSITION FINAL (1) copy.pdf: Page 14: 'PrEP... does not protect against other STIs... such as... chlamydia... it is therefore essential to have regular check-ups for STIs'; Page 31: 'Regularly check up on STIs: PrEP does not prevent other STIs (gonorrhea, condyloma, chlamydia, hepatitis B/C, syphilis, etc.)'."
BIH,Bosnia and Herzegovina,no,BiH HIV Guidelines ENG.pdf: Not found within the PrEP guidelines. Mentions 'joint HIV testing with partners' on Page 68 but not STI specific partner management.,yes,"BiH HIV Guidelines ENG.pdf: Page 65, under '2.18.1. Indications and recommendations for PrEP', 'Basic laboratory testing', 'Testing for hepatitis B'.",no,"BiH HIV Guidelines ENG.pdf: Not found in the context of PrEP initiation or follow-up. HBV testing is mentioned, but not vaccination for PrEP users.",no,BiH HIV Guidelines ENG.pdf: Not found in the context of PrEP initiation or follow-up.,yes,"BiH HIV Guidelines ENG.pdf: Page 65, under '2.18.1. Indications and recommendations for PrEP', 'Basic laboratory testing', 'Serological testing for sexually transmitted diseases: syphilis'.",yes,"BiH HIV Guidelines ENG.pdf: Page 65, under '2.18.1. Indications and recommendations for PrEP', 'Basic laboratory testing', 'Serological testing for sexually transmitted diseases: ... gonorrhea'.",yes,"BiH HIV Guidelines ENG.pdf: Page 65, under '2.18.1. Indications and recommendations for PrEP', 'Basic laboratory testing', 'Serological testing for sexually transmitted diseases: ... chlamydia'."
BWA,Botswana,no,"Botswana Handbook_HIV_treatment_guidelines.pdf: The document mentions PrEP for discordant couples (Page 7, 8) but does not specify partner management, contact tracing, or partner testing/treatment for STIs (excluding HIV) within the PrEP context.",no,Botswana Handbook_HIV_treatment_guidelines.pdf: Not found within the context of PrEP services or PrEP users.,no,Botswana Handbook_HIV_treatment_guidelines.pdf: Not found within the context of PrEP services or PrEP users.,no,Botswana Handbook_HIV_treatment_guidelines.pdf: Not found within the context of PrEP services or PrEP users.,no,Botswana Handbook_HIV_treatment_guidelines.pdf: Not found within the context of PrEP services or PrEP users.,no,Botswana Handbook_HIV_treatment_guidelines.pdf: Not found within the context of PrEP services or PrEP users.,no,Botswana Handbook_HIV_treatment_guidelines.pdf: Not found within the context of PrEP services or PrEP users.
BRA,Brazil,no,"protocolo_clinico_profilaxia_prep.pdf: The document mentions partner testing for HIV (Page 41, Section 6, first paragraph) but does not specify partner management (testing, treatment, or contact tracing) for other STIs (excluding HIV) in the context of a PrEP user having an STI.",yes,"protocolo_clinico_profilaxia_prep.pdf: Page 19, section 2.6, third paragraph: 'O perfil sorológico para as hepatites virais B (HBsAg, anti-HBs e anti-HBc – total e IgM) e C (anti-HCV) deve ser documentado em todas as pessoas com indicação de PrEP, com exames solicitados e coletados na consulta inicial.'; Page 37, Quadro 3, row 'Teste para hepatite B(b)'.",yes,"protocolo_clinico_profilaxia_prep.pdf: Page 20, first paragraph under 2.6: 'A vacinação contra a hepatite B é recomendada para todas as pessoas, em qualquer faixa etária. Os segmentos populacionais com indicação de PrEP também são prioritários para receber o esquema vacinal completo (geralmente de três doses).'",no,"protocolo_clinico_profilaxia_prep.pdf: While 'Imunizar para HBV e HPV' is present in Figure 2 on Page 28 as part of combined prevention, there is no specific textual recommendation for HPV vaccination explicitly for PrEP users or at the initiation of PrEP services.",yes,"protocolo_clinico_profilaxia_prep.pdf: Page 19, section 2.5, second paragraph: 'Assim, recomenda-se realizar a testagem para sífilis, preferencialmente por teste rápido, instituindo-se o tratamento quando indicado.'; Page 37, Quadro 3, row 'Teste para sífilis'.",yes,"protocolo_clinico_profilaxia_prep.pdf: Page 19, section 2.5, second paragraph: 'Indica-se, também, pesquisa para Chlamydia sp. e gonococo, quando disponível, e tratamento, quando indicado.'; Page 37, Quadro 3, row 'Identificação de outras IST (clamídia e gonococo)'.",yes,"protocolo_clinico_profilaxia_prep.pdf: Page 19, section 2.5, second paragraph: 'Indica-se, também, pesquisa para Chlamydia sp. e gonococo, quando disponível, e tratamento, quando indicado.'; Page 37, Quadro 3, row 'Identificação de outras IST (clamídia e gonococo)'."
BFA,Burkina Faso,no,"BF_Guide PrEP_Burkina Faso_vf2 (Récupération automatique).pdf: The document mentions referral for individuals with Hepatitis B (Page 17, section 6.1 and 6.2; Page 23, section 9.3) and general STI management (Page 17, section 6.1 and 6.2), but does not explicitly mention partner testing, treatment, management, or contact tracing for non-HIV STIs in the context of PrEP users' sexual partners.",yes,"BF_Guide PrEP_Burkina Faso_vf2 (Récupération automatique).pdf: Page 10, section 4: 'Les individus de sexe masculin infectés ou soupçonnés d'être par le virus de l'hépatite B (Ag HBS positif ou indéterminé) ne peuvent pas bénéficier de la PrEP à la demande.' and Page 20, Table 1: 'AgHBs' listed under 'Bilan biologique obligatoire' at 'J0 ou inclusion'.",yes,"BF_Guide PrEP_Burkina Faso_vf2 (Récupération automatique).pdf: Page 17, section 6.1 and 6.2: 'Vaccination contre l'hépatite B'; Page 20, Table 1: 'Vaccination contre l'hépatite B' with a schedule.",no,Justification not provided,yes,"BF_Guide PrEP_Burkina Faso_vf2 (Récupération automatique).pdf: Page 20, Table 1: 'Syphilis (TPHA+VDRL)' listed under 'Bilan biologique conseillé'.",yes,"BF_Guide PrEP_Burkina Faso_vf2 (Récupération automatique).pdf: Page 20, Table 1: 'PCR Chlamydiase, Gonococcie' listed under 'Bilan biologique conseillé'; Page 24, section 10.3: 'tests PCR pour la recherche d'IST à gonocoque'.",yes,"BF_Guide PrEP_Burkina Faso_vf2 (Récupération automatique).pdf: Page 20, Table 1: 'PCR Chlamydiase, Gonococcie' listed under 'Bilan biologique conseillé'; Page 24, section 10.3: 'tests PCR pour la recherche d'IST à ... chlamydia'."
BDI,Burundi,no,"Burundi 2020.10 PLAN DE MISE EN OEUVRE DES DIRECTIVES DE TARV 2020_VF PREFACEE_09 Oct 2020.fr.en.pdf: Partner management for STIs in the context of PrEP users is not explicitly mentioned. General 'treatment for STIs' is mentioned for the PrEP user, but not for partners.",ERR: yes (REF: no),"Burundi 2020.10 PLAN DE MISE EN OEUVRE DES DIRECTIVES DE TARV 2020_VF PREFACEE_09 Oct 2020.fr.en.pdf: Page 63, Appendix 1, 'Other recommended actions: Hepatitis B assessment'; Page 17, 'The client should be examined for possible contraindications and other pre-existing pathologies (renal pathologies, hepatitis B)' and 'If HIV / Hepatitis B co-infection at the start of PrEP, continue the TDF / 3TC and adapt the ARV treatment according to the national protocol.'",ERR: yes (REF: no),"Burundi 2020.10 PLAN DE MISE EN OEUVRE DES DIRECTIVES DE TARV 2020_VF PREFACEE_09 Oct 2020.fr.en.pdf: Page 63, Appendix 1, 'Other recommended actions: Vaccinate if indicated'",no,Justification not provided,no,"Burundi 2020.10 PLAN DE MISE EN OEUVRE DES DIRECTIVES DE TARV 2020_VF PREFACEE_09 Oct 2020.fr.en.pdf: Page 63, Appendix 1 mentions 'Assessment and treatment of STIs' and 'Diagnosis and treatment of STIs', but does not specify 'Syphilis' or 'Treponema pallidum' as per the instruction to record only specific pathogens.",no,"Burundi 2020.10 PLAN DE MISE EN OEUVRE DES DIRECTIVES DE TARV 2020_VF PREFACEE_09 Oct 2020.fr.en.pdf: Page 63, Appendix 1 mentions 'Assessment and treatment of STIs' and 'Diagnosis and treatment of STIs', but does not specify 'Neisseria gonorrhoeae' or 'gonorrhea' as per the instruction to record only specific pathogens.",no,"Burundi 2020.10 PLAN DE MISE EN OEUVRE DES DIRECTIVES DE TARV 2020_VF PREFACEE_09 Oct 2020.fr.en.pdf: Page 63, Appendix 1 mentions 'Assessment and treatment of STIs' and 'Diagnosis and treatment of STIs', but does not specify 'Chlamydia trachomatis' or 'Chlamydia' as per the instruction to record only specific pathogens."
KHM,Cambodia,no,Justification not provided,yes,"2022 - nchads-sop-prep-implementation-cambodia-2022.pdf: Page 13, Figure 3: 'HBV' testing at 2nd Screening; Page 14, 4.2.5 CBO Drop-in-Centers: 'Rapid screening tests for ... HBsAg ... will be done in the CBO DIC'",ERR: no (REF: yes),Justification not provided,no,Justification not provided,yes,"2022 - nchads-sop-prep-implementation-cambodia-2022.pdf: Page 13, Figure 3: 'Syphilis' listed under 'Follow up (M3) & every 3 months'; Page 14, PrEP clients need to return...: 'HIV and syphilis testing'; Page 14, 4.2.5 CBO Drop-in-Centers: 'Rapid screening tests for ... syphilis will be done in the CBO DIC'",ERR: no (REF: yes),"2022 - nchads-sop-prep-implementation-cambodia-2022.pdf: Not mentioned specifically by pathogen (Neisseria gonorrhoeae) or disease (gonorrhoea), only general 'STI screening'",ERR: no (REF: yes),"2022 - nchads-sop-prep-implementation-cambodia-2022.pdf: Not mentioned specifically by pathogen (Chlamydia trachomatis) or disease (Chlamydia), only general 'STI screening'"
CMR,Cameroon,ERR: yes (REF: no),"Cadre de MEO de la Prophylaxie Pré exposition_Final 29042019.pdf: Page 37, 'Checklist Follow-Up Counselling', under 'Intimate partner violence (IPV)', states: 'People who have abusive or controlling partners may find it more difficult to take care of their sexual health and to adhere to PrEP. Ask about the client's relationships, and for clients experiencing abuse, provide counseling and referrals, when possible.'",yes,"Cadre de MEO de la Prophylaxie Pré exposition_Final 29042019.pdf: Page 11, 'Tests biologiques suivants seront réalisés, à l'initiation, à la charge du programme : Test diagnostic des hépatites'; Page 13, Figure 1. Suivi et paquet de service, 'PrEP Initiation: Hepatitis B Test'; Page 21, 'Budget CHAMP', 'HepB testing'.",ERR: yes (REF: no),"Cadre de MEO de la Prophylaxie Pré exposition_Final 29042019.pdf: Page 11, 'Tests biologiques suivants seront réalisés, à l'initiation, à la charge du programme : ... Test diagnostic des hépatites puis référence pour vaccination si négatif'.",no,Cadre de MEO de la Prophylaxie Pré exposition_Final 29042019.pdf: Not found.,ERR: yes (REF: no),"Cadre de MEO de la Prophylaxie Pré exposition_Final 29042019.pdf: Page 11, 'Tests biologiques des IST (syphilis)'; Page 13, Figure 1. Suivi et paquet de service, 'M0, M3, M6, M9, M12: Syphilis Testing + Treatment'; Page 21, 'Budget CHAMP', 'Syphilis test'.",no,"Cadre de MEO de la Prophylaxie Pré exposition_Final 29042019.pdf: The document mentions 'dépistage syndromique des IST' (Page 11, 13, 15) and symptoms like 'écoulement urétral/vaginal' (Page 11), but does not explicitly name Neisseria gonorrhoeae or gonorrhoea for specific pathogen screening/testing.",no,"Cadre de MEO de la Prophylaxie Pré exposition_Final 29042019.pdf: The document mentions 'dépistage syndromique des IST' (Page 11, 13, 15) and symptoms like 'écoulement urétral/vaginal' (Page 11), but does not explicitly name Chlamydia trachomatis or Chlamydia for specific pathogen screening/testing."
CAN,Canada,ERR: no (REF: yes),Justification not provided,yes,"Canada_PrEP guidelines 2017.pdf: Page 5, Box 4: ""Hepatitis A, B and C serologies should be performed at baseline""; Page 6, Table 3: ""Hepatitis B screen (surface antigen, surface antibody, core antibody)"" at baseline and Q12mo.",yes,"Canada_PrEP guidelines 2017.pdf: Page 5, Box 4: ""...with vaccination for hepatitis A and B for nonimmune individuals""",no,Justification not provided,yes,"Canada_PrEP guidelines 2017.pdf: Page 5, Box 4: ""Laboratory screening for sexually transmitted infections is suggested at baseline and at each quarterly follow-up visit""; Page 6, Table 3: ""Syphilis serology"" at baseline and Q3mo.",yes,"Canada_PrEP guidelines 2017.pdf: Page 5, Box 4: ""Laboratory screening for sexually transmitted infections is suggested at baseline and at each quarterly follow-up visit""; Page 6, Table 3: ""Screening for gonorrhea and chlamydia"" at baseline and Q3mo.",yes,"Canada_PrEP guidelines 2017.pdf: Page 5, Box 4: ""Laboratory screening for sexually transmitted infections is suggested at baseline and at each quarterly follow-up visit""; Page 6, Table 3: ""Screening for gonorrhea and chlamydia"" at baseline and Q3mo."
CUB,Cuba,yes,"Resolucion Ministerial No. 56 del 2019.pdf: Page 181, Section 2.a), 4th bullet point: 'Debe ofrecérsele al usuario la oportunidad que sus parejas sexuales puedan acudir a la consulta para descartar infecciones por VIH u otras ITS;'",yes,"Resolucion Ministerial No. 56 del 2019.pdf: Page 179, 'Indicación de complementarios', 2nd main bullet point regarding 'Descartar infección por el virus de la hepatitis B y C': 'Si VHB, HBsAG con positivo, contactar al paciente con el gastroenterólogo para seguimiento...'",yes,"Resolucion Ministerial No. 56 del 2019.pdf: Page 178, Section 2.b): 'Si no hay infección crónica por VHB, las personas susceptibles deben ser vacunadas frente a esta infección.'",no,Justification not provided,yes,"Resolucion Ministerial No. 56 del 2019.pdf: Page 179, 'Indicación de complementarios', 4th bullet point: 'Evaluación de ITS: serología VDRL, para descartar sífilis.'",yes,"Resolucion Ministerial No. 56 del 2019.pdf: Page 114, Section 2.3.d): 'Tamizaje para Neisseria gonorrhoeae (Ng) / Chlamydia trachomatis (Ct).'",yes,"Resolucion Ministerial No. 56 del 2019.pdf: Page 114, Section 2.3.d): 'Tamizaje para Neisseria gonorrhoeae (Ng) / Chlamydia trachomatis (Ct).'"
CZE,Czech Republic,no,"CZE PrEP Guidelines ENG.pdf: The document mentions 'diagnosis of STDs in the client or partner' as a trigger for PrEP (Page 14), and 'for the treatment of eventual STDs' (Page 5), but does not explicitly describe partner testing, partner treatment, or contact tracing services for STIs (excluding HIV) in the context of a partner having an STI.",yes,"CZE PrEP Guidelines ENG.pdf: Page 5, 'Initial examination: hepatitis serology examination (HBsAg, anti-HCV...)'; Page 7, 'Follow-up visits: testing for hepatitis in seronegative subjects once a year (HBsAg, anti-HCV)' and 'STD screening once every 6 months, anti-HCV and HBsAg testing for seronegative persons once a year are also mandatory.'",yes,"CZE PrEP Guidelines ENG.pdf: Page 4, 'Initial examination: vaccinations completed (including compulsory hepatitis B vaccination for persons born in 1989 and later)'; Page 5, 'agreement on the method of communicating the results of the initial examinations and the resulting recommendations: for vaccination against hepatitis A and B' and 'Clients who have not had hepatitis B should be offered vaccination.'",no,Justification not provided,yes,"CZE PrEP Guidelines ENG.pdf: Page 5, 'Initial examination: Examination for sexually transmitted diseases: syphilis screening serologically by a combination of one nontreponemal and one treponemal test'; Page 7, 'Follow-up visits: examination for sexually transmitted diseases at least every 6 months, optimal is every 3 months: syphilis screening serologically by a combination of one nontreponemal and one treponemal test'.",yes,"CZE PrEP Guidelines ENG.pdf: Page 5, 'Initial examination: Examination for sexually transmitted diseases: PCR Chlamydia trachomatis and Neisseria gonorrheae in rectum, throat and urethra swabs'; Page 7, 'Follow-up visits: examination for sexually transmitted diseases... PCR Chlamydia trachomatis and Neisseria gonorrheae in rectum, throat and urethra swabs'.",yes,"CZE PrEP Guidelines ENG.pdf: Page 5, 'Initial examination: Examination for sexually transmitted diseases: PCR Chlamydia trachomatis and Neisseria gonorrheae in rectum, throat and urethra swabs'; Page 7, 'Follow-up visits: examination for sexually transmitted diseases... PCR Chlamydia trachomatis and Neisseria gonorrheae in rectum, throat and urethra swabs'."
CIV,Côte d'Ivoire,no,Justification not provided,yes,"CDI_National PrEP Guidelines.pdf: Page 6, section 'Principes de base', subsection 'Bilan de santé initial': 'Rechercher une Hépatite virale B'; Page 9, section 'Examen biologique avant la mise sous PrEP', subsection 'Dépistage VHB': 'le dépistage de l'hépatite est obligatoire avant la mise sous traitement'.",yes,"CDI_National PrEP Guidelines.pdf: Page 9, section 'Examen biologique avant la mise sous PrEP', subsection 'Dépistage VHB': 'La vaccination devra être faite pour les personnes AgHBs négatif'.",no,Justification not provided,no,"CDI_National PrEP Guidelines.pdf: Only general 'IST' screening is mentioned without specifying 'syphilis' or 'Treponema pallidum'. Page 6, section 'Principes de base', subsection 'Bilan de santé initial': 'Détecter une infection à VIH et/ou une autre IST'; Page 9, section 'Examen biologique avant la mise sous PrEP', subsection 'Dépistage des IST'; Page 14, table 'Rechercher les IST selon l'algorithme national'.",no,"CDI_National PrEP Guidelines.pdf: Only general 'IST' screening is mentioned without specifying 'Neisseria gonorrhoeae' or 'gonorrhoea'. Page 6, section 'Principes de base', subsection 'Bilan de santé initial': 'Détecter une infection à VIH et/ou une autre IST'; Page 9, section 'Examen biologique avant la mise sous PrEP', subsection 'Dépistage des IST'; Page 14, table 'Rechercher les IST selon l'algorithme national'.",no,"CDI_National PrEP Guidelines.pdf: Only general 'IST' screening is mentioned without specifying 'Chlamydia trachomatis' or 'Chlamydia'. Page 6, section 'Principes de base', subsection 'Bilan de santé initial': 'Détecter une infection à VIH et/ou une autre IST'; Page 9, section 'Examen biologique avant la mise sous PrEP', subsection 'Dépistage des IST'; Page 14, table 'Rechercher les IST selon l'algorithme national'."
KOR,Korea,no,Justification not provided,yes,"ic-49-243.pdf: Page 3, Section 4, Point 3: 'Testing for hepatitis B virus (HBs Ag, HBs Ab) and hepatitis C virus (HCV Ab) should be performed before starting PrEP (AIII).'",yes,"ic-49-243.pdf: Page 3, Section 4, Point 3: 'Hepatitis B virus vaccination is recommended for MSM without HBs Ab (AIII).'",no,Justification not provided,yes,"ic-49-243.pdf: Page 3, Section 5, Point 7: 'Sexually active persons receiving PrEP should be seen at least every 6 months to conduct tests for sexually transmitted infections (i.e., syphilis, gonorrhea, chlamydia) (BII).'; Page 3, Table 2: 'Testing for sexually transmitted diseases (syphilis, gonorrhea, chlamydia, etc.)'",yes,"ic-49-243.pdf: Page 3, Section 5, Point 7: 'Sexually active persons receiving PrEP should be seen at least every 6 months to conduct tests for sexually transmitted infections (i.e., syphilis, gonorrhea, chlamydia) (BII).'; Page 3, Table 2: 'Testing for sexually transmitted diseases (syphilis, gonorrhea, chlamydia, etc.)'",yes,"ic-49-243.pdf: Page 3, Section 5, Point 7: 'Sexually active persons receiving PrEP should be seen at least every 6 months to conduct tests for sexually transmitted infections (i.e., syphilis, gonorrhea, chlamydia) (BII).'; Page 3, Table 2: 'Testing for sexually transmitted diseases (syphilis, gonorrhea, chlamydia, etc.)'"
COD,Democratic Republic of Congo,no,Justification not provided,yes,"DRC_National PrEP Guidelines.pdf: Page 34, section 2.4.4 'Il est recommandé de rechercher l'hépatite B virale chez tout client à la PrEP :'; Page 36, Figure 6; Page 43, Tableau 9 'Sérologie pour hépatite B'",yes,"DRC_National PrEP Guidelines.pdf: Page 34, section 2.4.4 'Si le test AgHBs est négatif : vacciné contre le virus de l'hépatite B'; Page 38, Tableau 6 'Proposer la vaccination contre le VHB si nécessaire'",no,Justification not provided,yes,"DRC_National PrEP Guidelines.pdf: Page 36, Figure 6 'Syphilis'; Page 43, Tableau 9 'Sérologie de la syphilis' at initial and 12 months; Page 43, Tableau 8 'Recherche des IST (gonorrhée, chlamydia, syphilis) lors du bilan initial puis à chaque visite'",yes,"DRC_National PrEP Guidelines.pdf: Page 43, Tableau 9 'Dépistage de la gonorrhée, de la chlamydia, (MSM) et les autres groupes, dépistage selon le facteur de risque' at initial and 12 months; Page 43, Tableau 8 'Recherche des IST (gonorrhée, chlamydia, syphilis) lors du bilan initial puis à chaque visite'",yes,"DRC_National PrEP Guidelines.pdf: Page 43, Tableau 9 'Dépistage de la gonorrhée, de la chlamydia, (MSM) et les autres groupes, dépistage selon le facteur de risque' at initial and 12 months; Page 43, Tableau 8 'Recherche des IST (gonorrhée, chlamydia, syphilis) lors du bilan initial puis à chaque visite'"
DNK,Denmark,no,Justification not provided,yes,"regionale_prep_anbefalinger_(2019) Denmark PrEP policy.da.en.pdf: Page 4, 'Survey for: island Hepatitis A + B + C'; Page 5, 'hepatitis A, B and C are tested every 6 months' including 'HBs antigen' for previously uninfected individuals.",yes,"regionale_prep_anbefalinger_(2019) Denmark PrEP policy.da.en.pdf: Page 4, 'In case of negative Hepatitis A and / or B serology, vaccination should be offered'.",no,Justification not provided,yes,"regionale_prep_anbefalinger_(2019) Denmark PrEP policy.da.en.pdf: Page 4, 'Survey for: island Syphilis' prior to treatment; Page 5, 'Syphilis test' every 3 months during follow-up.",yes,"regionale_prep_anbefalinger_(2019) Denmark PrEP policy.da.en.pdf: Page 4, 'Survey for: island Gonorrhea (urethra, pharynx and rectum)' prior to treatment; Page 5, 'Screening for chlamydia and gonorrhea' every 3 months during follow-up.",yes,"regionale_prep_anbefalinger_(2019) Denmark PrEP policy.da.en.pdf: Page 4, 'Survey for: island Chamydia (urethra, pharynx and rectum)' prior to treatment; Page 5, 'Screening for chlamydia and gonorrhea' every 3 months during follow-up."
ECU,Ecuador,no,Justification not provided,yes,"gpc_VIH_acuerdo_ministerial05-07-2019.pdf: Page 144, Anexo 2: 'Infección documentada por Hepatitis B y estado de vacunación' implies screening for Hepatitis B status before PrEP initiation.",ERR: yes (REF: no),"gpc_VIH_acuerdo_ministerial05-07-2019.pdf: Page 144, Anexo 2: 'Infección documentada por Hepatitis B y estado de vacunación' implies a recommendation for vaccination if not already immune.",no,"gpc_VIH_acuerdo_ministerial05-07-2019.pdf: Human Papillomavirus (HPV) vaccination is recommended on page 84 for HIV-infected individuals, but not specifically for PrEP users.",no,"gpc_VIH_acuerdo_ministerial05-07-2019.pdf: Page 25 recommends 'Realizar mandatoriamente testeo de VIH e ITS cada 3 meses' for PrEP users, and page 144 mentions 'test para ITSs bacterial'. However, neither explicitly specifies screening for syphilis by name for PrEP users.",no,"gpc_VIH_acuerdo_ministerial05-07-2019.pdf: Page 25 recommends 'Realizar mandatoriamente testeo de VIH e ITS cada 3 meses' for PrEP users, and page 144 mentions 'test para ITSs bacterial'. However, neither explicitly specifies screening for Neisseria gonorrhoeae by name for PrEP users.",no,"gpc_VIH_acuerdo_ministerial05-07-2019.pdf: Page 25 recommends 'Realizar mandatoriamente testeo de VIH e ITS cada 3 meses' for PrEP users, and page 144 mentions 'test para ITSs bacterial'. However, neither explicitly specifies screening for Chlamydia trachomatis by name for PrEP users."
SLV,El Salvador,no,"El_Salvador_lineamientostecnicosparalaprofilaxispreexposicionalvihprep-Acuerdo-2950 copy.pdf: The document mentions 'Pareja serodiscordante' (serodiscordant couple) in the context of HIV and conception (Page 24, point 5i; Page 32, point d), which refers to HIV, not other STIs as per the definition. No mention of partner testing, treatment, or contact tracing for non-HIV STIs was found.",yes,"El_Salvador_lineamientostecnicosparalaprofilaxispreexposicionalvihprep-Acuerdo-2950 copy.pdf: Page 26, 'Perfil de Laboratorio clínico basal en consulta inicial para evaluación de ingreso a PrEP': 'El perfil comprende pruebas para ITS (VIH, Sífilis, Hepatitis virales B y C...'. Also, Anexo 2 (Page 50) lists 'Virus de Hepatitis B (VHB)' for basal/reinicio and 6-month follow-up.",ERR: yes (REF: no),"El_Salvador_lineamientostecnicosparalaprofilaxispreexposicionalvihprep-Acuerdo-2950 copy.pdf: Page 26, 'Paso 1: Consulta inicial para evaluación de ingreso a PrEP', point 'Establecer el estatus de vacunación para el Virus de Hepatitis B.'",no,"El_Salvador_lineamientostecnicosparalaprofilaxispreexposicionalvihprep-Acuerdo-2950 copy.pdf: HPV (VPH) is listed for screening in Anexo 2 (Page 51) and Page 30, but there is no mention of HPV vaccination.",yes,"El_Salvador_lineamientostecnicosparalaprofilaxispreexposicionalvihprep-Acuerdo-2950 copy.pdf: Page 26, 'Perfil de Laboratorio clínico basal en consulta inicial para evaluación de ingreso a PrEP': 'El perfil comprende pruebas para ITS (VIH, Sífilis, Hepatitis virales B y C...'. Also, Anexo 2 (Page 50) lists 'Sífilis' for basal/reinicio and 3, 6, 9-month follow-up.",yes,"El_Salvador_lineamientostecnicosparalaprofilaxispreexposicionalvihprep-Acuerdo-2950 copy.pdf: Page 26, 'Perfil de Laboratorio clínico basal en consulta inicial para evaluación de ingreso a PrEP': 'El perfil comprende pruebas para ITS (... Neisseria g....'. Also, Anexo 2 (Page 51) lists 'Neisseria g.' for basal/reinicio. Page 30 explicitly mentions 'Neisseria g.' for annual screening in follow-up.",yes,"El_Salvador_lineamientostecnicosparalaprofilaxispreexposicionalvihprep-Acuerdo-2950 copy.pdf: Page 26, 'Perfil de Laboratorio clínico basal en consulta inicial para evaluación de ingreso a PrEP': 'El perfil comprende pruebas para ITS (... Chlamydia t....'. Also, Anexo 2 (Page 51) lists 'Chlamydia t.' for basal/reinicio. Page 30 explicitly mentions 'Chlamydia t.' for annual screening in follow-up."
ERI,Eritrea,no,"Eritrea PrEP guidelines 2019-Ministry of Health.pdf: Partner management mentioned only in the context of HIV, not other STIs for PrEP users. (Page 8)",yes,"Eritrea PrEP guidelines 2019-Ministry of Health.pdf: Table 3, Page 24: 'Hepatitis B surface antigen (HBsAg) screening prior to PrEP initiation'. Also, Page 29: 'every PrEP user should be tested for hepatitis B surface antigen (HBsAg)'.",no,Justification not provided,no,Justification not provided,no,"Eritrea PrEP guidelines 2019-Ministry of Health.pdf: The document only mentions 'Diagnosis and treatment of sexually transmitted infection' or 'STI screening' without specifying syphilis or Treponema pallidum. (Page 14, Page 24, Page 27)",no,"Eritrea PrEP guidelines 2019-Ministry of Health.pdf: The document only mentions 'Diagnosis and treatment of sexually transmitted infection' or 'STI screening' without specifying Neisseria gonorrhoeae or gonorrhoea. (Page 14, Page 24, Page 27)",no,"Eritrea PrEP guidelines 2019-Ministry of Health.pdf: The document only mentions 'Diagnosis and treatment of sexually transmitted infection' or 'STI screening' without specifying Chlamydia trachomatis or Chlamydia. (Page 14, Page 24, Page 27)"
