country_alpha_3_code,country,partner_management,partner_management_justification,hbv_screening_for_hbsag,hbv_screening_for_hbsag_justification,vaccination_for_hbv,vaccination_for_hbv_justification,vaccination_for_hpv,vaccination_for_hpv_justification,syphilis_screening,syphilis_screening_justification,ng_screening,ng_screening_justification,ct_screening,ct_screening_justification
BEN,Benin,no,Justification not provided,yes,"Bening_ENG_GUIDE NATIONAL DE MISE EN ŒUVRE DE LA PROPHYLAXIE PRE EXPOSITION FINAL (1) copy.pdf: Page 28, in the table under 'Required initiation steps', it lists 'To research Hepatitis of Surface Antigen' and specifies actions for both HBsAg negative and positive results, indicating screening is recommended.",yes,"Bening_ENG_GUIDE NATIONAL DE MISE EN ŒUVRE DE LA PROPHYLAXIE PRE EXPOSITION FINAL (1) copy.pdf: Page 28, in the table under 'Required initiation steps', it states for HBsAg negative results to 'Explore and offer hepatitis B vaccination (in accordance with national hepatitis guidelines)'.",no,Justification not provided,yes,"Bening_ENG_GUIDE NATIONAL DE MISE EN ŒUVRE DE LA PROPHYLAXIE PRE EXPOSITION FINAL (1) copy.pdf: Page 31 states: 'Regularly check up on STIs: PrEP does not prevent other STIs (gonorrhea, condyloma, chlamydia, hepatitis B/C, syphilis, etc.). It is therefore recommended to make a regular monitoring (clinical and/or biological) of STIs every three months at least...'",yes,"Bening_ENG_GUIDE NATIONAL DE MISE EN ŒUVRE DE LA PROPHYLAXIE PRE EXPOSITION FINAL (1) copy.pdf: Page 31 states: 'Regularly check up on STIs: PrEP does not prevent other STIs (gonorrhea, condyloma, chlamydia, hepatitis B/C, syphilis, etc.). It is therefore recommended to make a regular monitoring (clinical and/or biological) of STIs every three months at least...'",yes,"Bening_ENG_GUIDE NATIONAL DE MISE EN ŒUVRE DE LA PROPHYLAXIE PRE EXPOSITION FINAL (1) copy.pdf: Page 31 states: 'Regularly check up on STIs: PrEP does not prevent other STIs (gonorrhea, condyloma, chlamydia, hepatitis B/C, syphilis, etc.). It is therefore recommended to make a regular monitoring (clinical and/or biological) of STIs every three months at least...'"
BIH,Bosnia and Herzegovina,no,Justification not provided,yes,"BiH HIV Guidelines ENG.pdf: Page 66, Basic laboratory testing: ""► Testing for hepatitis B because HIV PrEP drugs serve both to treat HBV, and people with active hepatitis B infection could experience a flare-up of hepatitis after the exclusion of prEP medications.""",no,Justification not provided,no,Justification not provided,yes,"BiH HIV Guidelines ENG.pdf: Page 66, Basic laboratory testing: ""► Serological testing for sexually transmitted diseases: syphilis, gonorrhea, chlamydia;""",yes,"BiH HIV Guidelines ENG.pdf: Page 66, Basic laboratory testing: ""► Serological testing for sexually transmitted diseases: syphilis, gonorrhea, chlamydia;""",yes,"BiH HIV Guidelines ENG.pdf: Page 66, Basic laboratory testing: ""► Serological testing for sexually transmitted diseases: syphilis, gonorrhea, chlamydia;"""
BWA,Botswana,no,Justification not provided,no,Justification not provided,no,Justification not provided,no,Justification not provided,no,Justification not provided,no,Justification not provided,no,Justification not provided
BRA,Brazil,ERR: yes (REF: no),"protocolo_clinico_profilaxia_prep.pdf: Page 41, Chapter 6: 'Dentre essas estratégias, está a testagem de pares e parcerias de usuários em PrEP. A proposta é que, durante as consultas de rotina nos serviços de saúde que realizam PrEP, o profissional possa ofertar ao usuário de PrEP autotestes de HIV, disponíveis nas Unidades Dispensadoras de Medicamentos (UDM), para que ele os distribua entre seus pares ou parcerias. Alternativamente, pode-se orientar o usuário de PrEP a conversar com seus pares ou parcerias sobre a importância da testagem e a sugerir que procurem algum serviço de saúde para fazer o teste, caso o usuário não deseje levar os autotestes para seus pares ou parcerias.' (Among these strategies is the testing of peers and partners of PrEP users. The proposal is that, during routine consultations at health services that provide PrEP, the professional can offer the PrEP user HIV self-tests, available at the Medication Dispensing Units (UDM), for them to distribute among their peers or partnerships. Alternatively, the PrEP user can be advised to talk to their peers or partnerships about the importance of testing and suggest they seek a health service to get tested, in case the user does not want to take the self-tests for their peers or partnerships.)",yes,"protocolo_clinico_profilaxia_prep.pdf: Page 37, Quadro 3 (Table 3) recommends testing for Hepatitis B ('Teste para hepatite B') annually, specifying the method as 'Pesquisa de HBsAg (ex.: TR) e anti-HBs' (Search for HBsAg (e.g., rapid test) and anti-HBs).",yes,"protocolo_clinico_profilaxia_prep.pdf: Page 20: 'A vacinação contra a hepatite B é recomendada para todas as pessoas, em qualquer faixa etária. Os segmentos populacionais com indicação de PrEP também são prioritários para receber o esquema vacinal completo (geralmente de três doses).' (Vaccination against hepatitis B is recommended for all people, at any age group. The population segments with an indication for PrEP are also priorities to receive the complete vaccination schedule (usually three doses).)",ERR: yes (REF: no),"protocolo_clinico_profilaxia_prep.pdf: Page 28, Figura 2 - Mandala da Prevenção Combinada (Figure 2 - Combined Prevention Mandala), includes a segment labeled 'Imunizar para HBV e HPV' (Immunize for HBV and HPV) as one of the combined prevention strategies discussed in the context of PrEP.",yes,"protocolo_clinico_profilaxia_prep.pdf: Page 37, Quadro 3 (Table 3) recommends a 'Teste para sífilis' (Test for syphilis) to be conducted trimestrally ('Trimestral').",yes,"protocolo_clinico_profilaxia_prep.pdf: Page 37, Quadro 3 (Table 3) recommends 'Identificação de outras IST (clamídia e gonococo)' (Identification of other STIs (chlamydia and gonococcus)) to be conducted every six months ('Semestral') or more frequently if symptomatic.",yes,"protocolo_clinico_profilaxia_prep.pdf: Page 37, Quadro 3 (Table 3) recommends 'Identificação de outras IST (clamídia e gonococo)' (Identification of other STIs (chlamydia and gonococcus)) to be conducted every six months ('Semestral') or more frequently if symptomatic."
BFA,Burkina Faso,no,Justification not provided,yes,"BF_Guide PrEP_Burkina Faso_vf2 (Récupération automatique).pdf: Table 1 on page 20, under 'Bilan biologique obligatoire' (Mandatory biological assessment), lists 'AgHBs' screening at 'J0 ou inclusion' (Day 0 or inclusion).",yes,BF_Guide PrEP_Burkina Faso_vf2 (Récupération automatique).pdf: Table 1 on page 20 includes a row for 'Vaccination contre l'hépatite B' (Vaccination against hepatitis B) for eligible individuals (AgHBs- & AcHBs-).,no,Justification not provided,yes,"BF_Guide PrEP_Burkina Faso_vf2 (Récupération automatique).pdf: Table 1 on page 20, under 'Bilan biologique conseillé' (Recommended biological assessment), lists 'Syphilis (TPHA+VDRL)' screening at 'J0 ou inclusion' (Day 0 or inclusion) and then annually ('Tous les ans').",yes,"BF_Guide PrEP_Burkina Faso_vf2 (Récupération automatique).pdf: Table 1 on page 20, under 'Bilan biologique conseillé' (Recommended biological assessment), recommends 'PCR Chlamydiase, Gonococcie' at initiation and every 6 months.",yes,"BF_Guide PrEP_Burkina Faso_vf2 (Récupération automatique).pdf: Table 1 on page 20, under 'Bilan biologique conseillé' (Recommended biological assessment), recommends 'PCR Chlamydiase, Gonococcie' at initiation and every 6 months."
BDI,Burundi,no,Justification not provided,ERR: yes (REF: no),"Burundi 2020.10 PLAN DE MISE EN OEUVRE DES DIRECTIVES DE TARV 2020_VF PREFACEE_09 Oct 2020.fr.en.pdf: Page 63, in 'APPENDIX 1: ALGORITHM OF PrEP', under 'Other recommended actions', it lists 'Hepatitis B assessment'.",ERR: yes (REF: no),"Burundi 2020.10 PLAN DE MISE EN OEUVRE DES DIRECTIVES DE TARV 2020_VF PREFACEE_09 Oct 2020.fr.en.pdf: Page 63, in 'APPENDIX 1: ALGORITHM OF PrEP', under 'Other recommended actions', it lists 'Vaccinate if indicated' following the Hepatitis B assessment.",no,Justification not provided,no,"Burundi 2020.10 PLAN DE MISE EN OEUVRE DES DIRECTIVES DE TARV 2020_VF PREFACEE_09 Oct 2020.fr.en.pdf: The document recommends a general 'Assessment and treatment of STIs if indicated' (Page 63) for PrEP users, but does not specifically mention screening for syphilis.",no,"Burundi 2020.10 PLAN DE MISE EN OEUVRE DES DIRECTIVES DE TARV 2020_VF PREFACEE_09 Oct 2020.fr.en.pdf: The document recommends a general 'Assessment and treatment of STIs if indicated' (Page 63) for PrEP users, but does not specifically mention screening for Neisseria gonorrhoeae.",no,"Burundi 2020.10 PLAN DE MISE EN OEUVRE DES DIRECTIVES DE TARV 2020_VF PREFACEE_09 Oct 2020.fr.en.pdf: The document recommends a general 'Assessment and treatment of STIs if indicated' (Page 63) for PrEP users, but does not specifically mention screening for Chlamydia trachomatis."
KHM,Cambodia,no,Justification not provided,yes,"2022 - nchads-sop-prep-implementation-cambodia-2022.pdf: Page 16, Section 4.2.5 states: 'Rapid screening tests for HIV 4th generation, HBsAg, HCV and syphilis will be done in the CBO DIC.' Additionally, Figure 3 on page 13 includes 'HBV' testing in the PrEP delivery diagram.",ERR: no (REF: yes),Justification not provided,no,Justification not provided,yes,"2022 - nchads-sop-prep-implementation-cambodia-2022.pdf: Page 16, Section 4.2.5 states: 'Rapid screening tests for HIV 4th generation, HBsAg, HCV and syphilis will be done in the CBO DIC.' Also, Figure 3 on page 13 indicates syphilis testing at follow-up visits (M1 and M3).",ERR: no (REF: yes),Justification not provided,ERR: no (REF: yes),Justification not provided
CMR,Cameroon,no,"Cadre de MEO de la Prophylaxie Pré exposition_Final 29042019.pdf: The document mentions ""Partner support issue"" in a table on page 15, but this is within the context of psychosocial support and does not specify STI testing, treatment, or management for the partners of PrEP users.",yes,"Cadre de MEO de la Prophylaxie Pré exposition_Final 29042019.pdf: Page 12 states that at initiation, a ""Test diagnostic des hépatites"" will be performed. Page 21 further specifies this in a budget table as ""HepB testing"".",ERR: yes (REF: no),"Cadre de MEO de la Prophylaxie Pré exposition_Final 29042019.pdf: Page 12 recommends a ""Test diagnostic des hépatites puisréférence pour vaccination si négatif"" (Diagnostic test for hepatitis then referral for vaccination if negative).",no,Justification not provided,ERR: yes (REF: no),"Cadre de MEO de la Prophylaxie Pré exposition_Final 29042019.pdf: Page 12 lists ""Tests biologiquesdes IST (syphilis)"" (Biological STI tests (syphilis)) to be performed at initiation. This is reinforced in a table on page 20 which lists ""Test sérologique de la syphilis et traitement"" (Serological test for syphilis and treatment).",no,"Cadre de MEO de la Prophylaxie Pré exposition_Final 29042019.pdf: The document recommends syndromic management for STIs (e.g., ""Évaluation syndromique des IST"" on page 15) but does not specify etiological screening for Neisseria gonorrhoeae.",no,"Cadre de MEO de la Prophylaxie Pré exposition_Final 29042019.pdf: The document recommends syndromic management for STIs (e.g., ""Évaluation syndromique des IST"" on page 15) but does not specify etiological screening for Chlamydia trachomatis."
CAN,Canada,ERR: no (REF: yes),Justification not provided,yes,"Canada_PrEP guidelines 2017.pdf: Page 6, Table 3, 'Suggested evaluation at baseline and during pre-exposure prophylaxis' recommends a 'Hepatitis B screen (surface antigen, surface antibody, core antibody)' at baseline.",yes,"Canada_PrEP guidelines 2017.pdf: Page 5, Box 4, under 'Sexually transmitted infections and viral hepatitis', states: 'vaccination for hepatitis A and B for nonimmune individuals'.",no,Justification not provided,yes,"Canada_PrEP guidelines 2017.pdf: Page 6, Table 3, 'Suggested evaluation at baseline and during pre-exposure prophylaxis' recommends 'Syphilis serology' at baseline and every 3 months.",yes,"Canada_PrEP guidelines 2017.pdf: Page 6, Table 3, 'Suggested evaluation at baseline and during pre-exposure prophylaxis' recommends 'Screening for gonorrhea and chlamydia' at baseline.",yes,"Canada_PrEP guidelines 2017.pdf: Page 6, Table 3, 'Suggested evaluation at baseline and during pre-exposure prophylaxis' recommends 'Screening for gonorrhea and chlamydia' at baseline."
CUB,Cuba,ERR: no (REF: yes),Justification not provided,yes,"Resolucion Ministerial No. 56 del 2019.pdf: Page 178, section 2.b: ""Evaluar la situación serológica del virus de la hepatitis B (VHB): La infección crónica por VHB no contraindica la administración de PrEP, pero es importante conocer la situación serológica...""",yes,"Resolucion Ministerial No. 56 del 2019.pdf: Page 178, section 2.b: ""Si no hay infección crónica por VHB, las personas susceptibles deben ser vacunadas frente a esta infección.""",no,Justification not provided,yes,"Resolucion Ministerial No. 56 del 2019.pdf: Page 114, section 2.4.b: ""Realizar prueba VIH, sífilis, Ng / Ct.""",yes,"Resolucion Ministerial No. 56 del 2019.pdf: Page 114, section 2.4.b: ""Realizar prueba VIH, sífilis, Ng / Ct.""",yes,"Resolucion Ministerial No. 56 del 2019.pdf: Page 114, section 2.4.b: ""Realizar prueba VIH, sífilis, Ng / Ct."""
CZE,Czech Republic,ERR: yes (REF: no),"CZE PrEP Guidelines ENG.pdf: Page 14, under 'Groups of people at increased risk', mentions: 'A suitable situation to start or restart PrEP can be: sex without a condom (planned or unexpected) diagnosis of STDs in the client or partner...'",yes,"CZE PrEP Guidelines ENG.pdf: Page 5, under 'Initial examination', recommends 'hepatitis serology examination (HBsAg, anti-HCV, facultative anti-HAV total, anti-HBs and anti-HBc total)'.",yes,"CZE PrEP Guidelines ENG.pdf: Page 5 states: 'Clients who have not had hepatitis B should be offered vaccination. If they have not had hepatitis B or A, it is preferable to vaccinate against both hepatitis with a combined vaccine.'",no,Justification not provided,yes,"CZE PrEP Guidelines ENG.pdf: Page 5, under 'Examination for sexually transmitted diseases', recommends 'syphilis screening serologically by a combination of one nontreponemal and one treponemal test (e.g. RRR + TPPA)'.",yes,"CZE PrEP Guidelines ENG.pdf: Page 5, under 'Examination for sexually transmitted diseases', recommends 'PCR Chlamydia trachomatis and Neisseria gonorrheae in rectum, throat and urethra swabs...'.",yes,"CZE PrEP Guidelines ENG.pdf: Page 5, under 'Examination for sexually transmitted diseases', recommends 'PCR Chlamydia trachomatis and Neisseria gonorrheae in rectum, throat and urethra swabs...'."
CIV,Côte d'Ivoire,no,Justification not provided,yes,"CDI_National PrEP Guidelines.pdf: Page 9, 'Dépistage VHB' section states: '...le dépistage de l'hépatite est obligatoire avant la mise sous traitement.' The form on page 25 specifies 'Hépatite B(HBsAg)'.",yes,"CDI_National PrEP Guidelines.pdf: Page 9, 'Dépistage VHB' section states: 'La vaccination devra être faite pour les personnes AgHBs négatif.' The form on page 25 includes a checkbox 'Si négatif, série de vaccins commencé'.",no,Justification not provided,no,CDI_National PrEP Guidelines.pdf: The document mentions general STI screening ('Dépistage des IST' on page 9) but does not specifically name syphilis or Treponema pallidum as a required test.,no,CDI_National PrEP Guidelines.pdf: The document mentions general STI screening ('Dépistage des IST' on page 9) but does not specifically name Neisseria gonorrhoeae or gonorrhoea as a required test.,no,CDI_National PrEP Guidelines.pdf: The document mentions general STI screening ('Dépistage des IST' on page 9) but does not specifically name Chlamydia trachomatis or chlamydia as a required test.
